"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Bolton","Unit","Selected area","Bolton","Unit","Base population","Source","Geography","Time period"
"Method of travel to workplace","Underground, metro, light rail, tram",0.8,0.1,"%","20","181","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Train",0.9,1.3,"%","23","1618","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Bus, minibus or coach",2.3,3.8,"%","57","4778","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Taxi",0.6,2.1,"%","14","2583","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Motorcycle, scooter or moped",0.5,0.3,"%","12","425","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Driving a car or van",59.7,54.1,"%","1455","67803","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Passenger in a car or van",3.6,5.4,"%","89","6830","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Bicycle",0.7,0.8,"%","16","1057","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","On foot",3.9,7.4,"%","95","9226","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Other method of travel to work",0.8,1.1,"%","19","1370","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically active: In employment",69.2,54,"%","2435","125439","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically active: Unemployed",3,3.9,"%","105","9103","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically inactive",27.8,42.1,"%","980","97751","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Worked in the last 12 months",14.5,10.9,"%","158","11655","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Not worked in the last 12 months",63.7,55.7,"%","693","59565","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Never worked",21.8,33.3,"%","237","35631","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","1. Managers, directors and senior officials",10.6,10.6,"%","259","13286","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","2. Professional occupations",18.2,16.9,"%","442","21197","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","3. Associate professional and technical occupations",15,12,"%","366","15019","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","4. Administrative and secretarial occupations",10.7,9.9,"%","261","12357","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","5. Skilled trades occupations",11.7,10.1,"%","284","12663","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
