"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Greater Manchester","Unit","Selected area","Greater Manchester","Unit","Base population","Source","Geography","Time period"
"Occupation","2. Professional occupations",18.2,20.2,"%","442","259215","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","3. Associate professional and technical occupations",15,13.2,"%","366","168521","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","4. Administrative and secretarial occupations",10.7,9.7,"%","261","123999","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","5. Skilled trades occupations",11.7,9.2,"%","284","117628","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","6. Caring, leisure and other service occupations",7.9,9.7,"%","193","124562","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","7. Sales and customer service occupations",8.8,8.7,"%","214","110994","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","8. Process, plant and machine operatives",7.9,7.3,"%","193","93764","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","9. Elementary occupations",9.2,11,"%","223","141327","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L1, L2 and L3: Higher managerial, administrative and professional occupations",11.9,11.3,"%","418","256945","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L4, L5 and L6: Lower managerial, administrative and professional occupations",23.5,18.7,"%","827","426652","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L7: Intermediate occupations",14.2,12,"%","500","273088","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L8 and L9: Small employers and own account workers",9.6,9,"%","338","204471","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L10 and L11: Lower supervisory and technical occupations",6.4,5.1,"%","225","116936","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L12: Semi-routine occupations",11.5,11.2,"%","406","255631","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L13: Routine occupations",12.2,13.1,"%","429","299505","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L14.1 and L14.2: Never worked and long-term unemployed",5.4,10.9,"%","189","248431","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L15: Full-time students",5.3,8.8,"%","185","201275","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Part-time: 15 hours or less worked",7.2,9.3,"%","176","118632","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Part-time: 16 to 30 hours worked",15.9,20.2,"%","388","258601","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Full-time: 31 to 48 hours worked",67.7,62.2,"%","1650","795911","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Full-time: 49 or more hours worked",9.2,8.4,"%","225","106964","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","No qualifications",14.6,20,"%","513","457032","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Level 1, 2 or 3 qualifications",46.8,39.9,"%","1649","911159","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Apprenticeship",6.8,5.6,"%","240","127071","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Level 4 qualifications and above",29.5,31.9,"%","1040","727689","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Other qualifications",2.3,2.6,"%","80","59979","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Schoolchildren and full-time students","Student",18.4,22.7,"%","753","611892","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Schoolchildren and full-time students","Not a student",81.6,77.3,"%","3348","2082485","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
